Date,ATC Coin,Aidos Kuneen,Ark,BitBay,BitConnect,BitShares,Bitcoin,Bitcoin Cash,BitcoinDark,Bitdeal,BlackCoin,Blocknet,Burst,Byteball Bytes,Bytecoin,Clams,CloakCoin,Compcoin,Counterparty,Crown,DECENT,Dash,Decred,Diamond,DigiByte,DigitalNote,Dogecoin,E-coin,Einsteinium,Elastic,Emercoin,Energycoin,Ethereum,Ethereum Classic,Expanse,Factom,FairCoin,FirstCoin,GXShares,Gambit,GameCredits,Golos,GridCoin,Groestlcoin,Gulden,Hshare,I-O Coin,ION,IOTA,Komodo,LBRY Credits,LEOcoin,Lisk,Litecoin,Lykke,Metaverse ETP,MonaCoin,Monero,MonetaryUnit,Mooncoin,NAV Coin,NEM,NEO,Namecoin,Neblio,Nexus,NoLimitCoin,Nxt,OKCash,Omni,PIVX,Particl,Peercoin,PotCoin,Radium,ReddCoin,Ripple,Rise,Rubycoin,SIBCoin,SaluS,Shift,Siacoin,Skycoin,SpreadCoin,Sprouts,Steem,Stellar Lumens,Stratis,Syscoin,The ChampCoin,Ubiq,Unobtanium,Verge,Vertcoin,Viacoin,Waves,ZCoin,Zcash,ZenCash
2013-05-18,,,,,,,123.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,0.80275,,,,,,,,,0.21489,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-19,,,,,,,123.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,0.811961,,,,,,,,,0.178656,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,,,,,122.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,,,,,,,,,,0.895475,,,,,,,,,0.20825,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-21,,,,,,,122.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,,,,,,,,,0.865122,,,,,,,,,0.220856,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-22,,,,,,,122.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,0.867603,,,,,,,,,0.22366,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-23,,,,,,,123.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,0.888884,,,,,,,,,0.209222,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-24,,,,,,,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,0.925779,,,,,,,,,0.215973,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-25,,,,,,,133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,,,,,,,,,0.97163,,,,,,,,,0.220946,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-26,,,,,,,131.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,0.9437,,,,,,,,,0.211178,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-27,,,,,,,133.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,,,,,,,,0.930495,,,,,,,,,0.18957,,,,,,,,,,,,,,,,,,,,,,,,,,,
